codigo;nome;telefone
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
1209;Geferson;51995564266
